"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Malta";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";558.0;
2015.0;"Montenegro";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";488.0;
2015.0;"Cyprus";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";475.0;"e"
2015.0;"Greece";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";409.0;
2015.0;"Turkey";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";350.0;"e"
2015.0;"Iceland";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";342.0;
2015.0;"Croatia";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";313.0;
2015.0;"Bulgaria";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";278.0;
2015.0;"Latvia";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";250.0;
2015.0;"Lithuania";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";242.0;
2015.0;"Spain";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";239.0;"e"
2015.0;"Slovakia";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";226.0;
2015.0;"Hungary";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";202.0;
2015.0;"Serbia";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";192.0;
2015.0;"Romania";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";178.0;
2015.0;"Kosovo (under United Nations Security Council Resolution 1244/99)";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";177.0;
2015.0;"Czech Republic";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";166.0;"e"
2015.0;"France";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";129.0;"e"
2015.0;"Italy";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";129.0;
2015.0;"Poland";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";127.0;"e"
2015.0;"European Union (28 countries)";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";122.0;"s"
2015.0;"Luxembourg";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";110.0;"e"
2015.0;"United Kingdom";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";109.0;
2015.0;"Slovenia";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";102.0;
2015.0;"Finland";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";57.0;
2015.0;"Estonia";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";26.0;
2015.0;"Austria";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";17.0;
2015.0;"Norway";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";14.0;
2015.0;"Denmark";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";9.0;
2015.0;"Netherlands";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";7.0;
2015.0;"Belgium";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";4.0;
2015.0;"Sweden";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";4.0;
2015.0;"Germany (until 1990 former territory of the FRG)";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";1.0;"e"
2015.0;"Switzerland";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";0.0;
