"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Belgium";"Incineration / disposal (D10)";"Kilograms per capita";75.0;
2015.0;"Germany (until 1990 former territory of the FRG)";"Incineration / disposal (D10)";"Kilograms per capita";58.0;"e"
2015.0;"Italy";"Incineration / disposal (D10)";"Kilograms per capita";51.0;
2015.0;"European Union (28 countries)";"Incineration / disposal (D10)";"Kilograms per capita";19.0;
2015.0;"Iceland";"Incineration / disposal (D10)";"Kilograms per capita";18.0;
2015.0;"Netherlands";"Incineration / disposal (D10)";"Kilograms per capita";6.0;
2015.0;"France";"Incineration / disposal (D10)";"Kilograms per capita";5.0;"e"
2015.0;"United Kingdom";"Incineration / disposal (D10)";"Kilograms per capita";5.0;
2015.0;"Poland";"Incineration / disposal (D10)";"Kilograms per capita";3.0;"e"
2015.0;"Austria";"Incineration / disposal (D10)";"Kilograms per capita";0.0;
2015.0;"Bulgaria";"Incineration / disposal (D10)";"Kilograms per capita";0.0;
2015.0;"Switzerland";"Incineration / disposal (D10)";"Kilograms per capita";0.0;
2015.0;"Cyprus";"Incineration / disposal (D10)";"Kilograms per capita";0.0;
2015.0;"Czech Republic";"Incineration / disposal (D10)";"Kilograms per capita";0.0;"e"
2015.0;"Denmark";"Incineration / disposal (D10)";"Kilograms per capita";0.0;
2015.0;"Estonia";"Incineration / disposal (D10)";"Kilograms per capita";0.0;
2015.0;"Spain";"Incineration / disposal (D10)";"Kilograms per capita";0.0;"e"
2015.0;"Finland";"Incineration / disposal (D10)";"Kilograms per capita";0.0;
2015.0;"Croatia";"Incineration / disposal (D10)";"Kilograms per capita";0.0;
2015.0;"Hungary";"Incineration / disposal (D10)";"Kilograms per capita";0.0;
2015.0;"Lithuania";"Incineration / disposal (D10)";"Kilograms per capita";0.0;
2015.0;"Luxembourg";"Incineration / disposal (D10)";"Kilograms per capita";0.0;
2015.0;"Montenegro";"Incineration / disposal (D10)";"Kilograms per capita";0.0;
2015.0;"Malta";"Incineration / disposal (D10)";"Kilograms per capita";0.0;
2015.0;"Norway";"Incineration / disposal (D10)";"Kilograms per capita";0.0;
2015.0;"Romania";"Incineration / disposal (D10)";"Kilograms per capita";0.0;
2015.0;"Serbia";"Incineration / disposal (D10)";"Kilograms per capita";0.0;
2015.0;"Sweden";"Incineration / disposal (D10)";"Kilograms per capita";0.0;
2015.0;"Slovenia";"Incineration / disposal (D10)";"Kilograms per capita";0.0;
2015.0;"Slovakia";"Incineration / disposal (D10)";"Kilograms per capita";0.0;
2015.0;"Turkey";"Incineration / disposal (D10)";"Kilograms per capita";0.0;
