"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Germany (until 1990 former territory of the FRG)";"Material recycling";"Kilograms per capita";299.0;"e"
2015.0;"Switzerland";"Material recycling";"Kilograms per capita";231.0;
2015.0;"Denmark";"Material recycling";"Kilograms per capita";215.0;
2015.0;"Slovenia";"Material recycling";"Kilograms per capita";208.0;"e"
2015.0;"Luxembourg";"Material recycling";"Kilograms per capita";178.0;"e"
2015.0;"Sweden";"Material recycling";"Kilograms per capita";145.0;
2015.0;"Austria";"Material recycling";"Kilograms per capita";144.0;
2015.0;"Belgium";"Material recycling";"Kilograms per capita";143.0;
2015.0;"Finland";"Material recycling";"Kilograms per capita";141.0;
2015.0;"European Union (28 countries)";"Material recycling";"Kilograms per capita";136.0;"s"
2015.0;"United Kingdom";"Material recycling";"Kilograms per capita";132.0;
2015.0;"Netherlands";"Material recycling";"Kilograms per capita";129.0;
2015.0;"Italy";"Material recycling";"Kilograms per capita";126.0;
2015.0;"Iceland";"Material recycling";"Kilograms per capita";118.0;
2015.0;"France";"Material recycling";"Kilograms per capita";112.0;"e"
2015.0;"Norway";"Material recycling";"Kilograms per capita";110.0;
2015.0;"Lithuania";"Material recycling";"Kilograms per capita";103.0;
2015.0;"Hungary";"Material recycling";"Kilograms per capita";98.0;
2015.0;"Latvia";"Material recycling";"Kilograms per capita";92.0;
2015.0;"Estonia";"Material recycling";"Kilograms per capita";89.0;
2015.0;"Cyprus";"Material recycling";"Kilograms per capita";85.0;"e"
2015.0;"Czech Republic";"Material recycling";"Kilograms per capita";81.0;"e"
2015.0;"Bulgaria";"Material recycling";"Kilograms per capita";80.0;
2015.0;"Poland";"Material recycling";"Kilograms per capita";75.0;"e"
2015.0;"Spain";"Material recycling";"Kilograms per capita";73.0;"e"
2015.0;"Croatia";"Material recycling";"Kilograms per capita";64.0;
2015.0;"Greece";"Material recycling";"Kilograms per capita";62.0;
2015.0;"Malta";"Material recycling";"Kilograms per capita";42.0;
2015.0;"Montenegro";"Material recycling";"Kilograms per capita";30.0;
2015.0;"Slovakia";"Material recycling";"Kilograms per capita";25.0;
2015.0;"Romania";"Material recycling";"Kilograms per capita";14.0;
2015.0;"Serbia";"Material recycling";"Kilograms per capita";2.0;
