"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Denmark";"Waste generated";"Kilograms per capita";"789";
2015.0;"Switzerland";"Waste generated";"Kilograms per capita";"725";
2015.0;"Cyprus";"Waste generated";"Kilograms per capita";"638";"e"
2015.0;"Germany (until 1990 former territory of the FRG)";"Waste generated";"Kilograms per capita";"625";"e"
2015.0;"Luxembourg";"Waste generated";"Kilograms per capita";"625";"e"
2015.0;"Malta";"Waste generated";"Kilograms per capita";"624";
2015.0;"Iceland";"Waste generated";"Kilograms per capita";"583";
2015.0;"Austria";"Waste generated";"Kilograms per capita";"560";
2015.0;"Montenegro";"Waste generated";"Kilograms per capita";"533";
2015.0;"Netherlands";"Waste generated";"Kilograms per capita";"523";
2015.0;"France";"Waste generated";"Kilograms per capita";"501";"e"
2015.0;"Finland";"Waste generated";"Kilograms per capita";"500";
2015.0;"Italy";"Waste generated";"Kilograms per capita";"486";
2015.0;"Greece";"Waste generated";"Kilograms per capita";"485";
2015.0;"United Kingdom";"Waste generated";"Kilograms per capita";"485";
2015.0;"European Union (28 countries)";"Waste generated";"Kilograms per capita";"476";"s"
2015.0;"Slovenia";"Waste generated";"Kilograms per capita";"449";
2015.0;"Lithuania";"Waste generated";"Kilograms per capita";"448";
2015.0;"Sweden";"Waste generated";"Kilograms per capita";"447";
2015.0;"Spain";"Waste generated";"Kilograms per capita";"434";"e"
2015.0;"Norway";"Waste generated";"Kilograms per capita";"421";
2015.0;"Bulgaria";"Waste generated";"Kilograms per capita";"419";
2015.0;"Belgium";"Waste generated";"Kilograms per capita";"418";
2015.0;"Latvia";"Waste generated";"Kilograms per capita";"404";
2015.0;"Turkey";"Waste generated";"Kilograms per capita";"400";"e"
2015.0;"Croatia";"Waste generated";"Kilograms per capita";"393";
2015.0;"Hungary";"Waste generated";"Kilograms per capita";"377";
2015.0;"Estonia";"Waste generated";"Kilograms per capita";"359";
2015.0;"Slovakia";"Waste generated";"Kilograms per capita";"329";
2015.0;"Czech Republic";"Waste generated";"Kilograms per capita";"316";
2015.0;"Poland";"Waste generated";"Kilograms per capita";"286";"e"
2015.0;"Serbia";"Waste generated";"Kilograms per capita";"259";
2015.0;"Romania";"Waste generated";"Kilograms per capita";"247";
2015.0;"Kosovo (under United Nations Security Council Resolution 1244/99)";"Waste generated";"Kilograms per capita";"178";
