"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Poland";"Composting and digestion";"Kilograms per capita";"46";"e"
2014.0;"Poland";"Composting and digestion";"Kilograms per capita";"30";"e"
2013.0;"Poland";"Composting and digestion";"Kilograms per capita";"32";
2012.0;"Poland";"Composting and digestion";"Kilograms per capita";"30";
2011.0;"Poland";"Composting and digestion";"Kilograms per capita";"25";
2010.0;"Poland";"Composting and digestion";"Kilograms per capita";"21";
2009.0;"Poland";"Composting and digestion";"Kilograms per capita";"18";
2008.0;"Poland";"Composting and digestion";"Kilograms per capita";"10";
2007.0;"Poland";"Composting and digestion";"Kilograms per capita";"10";
2006.0;"Poland";"Composting and digestion";"Kilograms per capita";"9";
2005.0;"Poland";"Composting and digestion";"Kilograms per capita";"8";
