"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Poland";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"127";"e"
2014.0;"Poland";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"143";"e"
2013.0;"Poland";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"157";"e"
2012.0;"Poland";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"188";
2011.0;"Poland";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"201";
2010.0;"Poland";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"195";
2009.0;"Poland";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"207";
2008.0;"Poland";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"229";
2007.0;"Poland";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"239";
2006.0;"Poland";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"236";
2005.0;"Poland";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"226";
