"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Poland";"Incineration / disposal (D10)";"Kilograms per capita";"3";"e"
2014.0;"Poland";"Incineration / disposal (D10)";"Kilograms per capita";"10";"e"
2013.0;"Poland";"Incineration / disposal (D10)";"Kilograms per capita";"5";"e"
2012.0;"Poland";"Incineration / disposal (D10)";"Kilograms per capita";"1";
2011.0;"Poland";"Incineration / disposal (D10)";"Kilograms per capita";"1";
2010.0;"Poland";"Incineration / disposal (D10)";"Kilograms per capita";"1";
2009.0;"Poland";"Incineration / disposal (D10)";"Kilograms per capita";"1";
2008.0;"Poland";"Incineration / disposal (D10)";"Kilograms per capita";"1";
2007.0;"Poland";"Incineration / disposal (D10)";"Kilograms per capita";"1";
2006.0;"Poland";"Incineration / disposal (D10)";"Kilograms per capita";"1";
2005.0;"Poland";"Incineration / disposal (D10)";"Kilograms per capita";"1";
