"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Poland";"Material recycling";"Kilograms per capita";"75";"e"
2014.0;"Poland";"Material recycling";"Kilograms per capita";"57";"e"
2013.0;"Poland";"Material recycling";"Kilograms per capita";"39";
2012.0;"Poland";"Material recycling";"Kilograms per capita";"33";
2011.0;"Poland";"Material recycling";"Kilograms per capita";"31";
2010.0;"Poland";"Material recycling";"Kilograms per capita";"47";
2009.0;"Poland";"Material recycling";"Kilograms per capita";"37";
2008.0;"Poland";"Material recycling";"Kilograms per capita";"23";
2007.0;"Poland";"Material recycling";"Kilograms per capita";"15";
2006.0;"Poland";"Material recycling";"Kilograms per capita";"13";
2005.0;"Poland";"Material recycling";"Kilograms per capita";"10";
