"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Poland";"Waste generated";"Kilograms per capita";"286";"e"
2014.0;"Poland";"Waste generated";"Kilograms per capita";"272";"e"
2013.0;"Poland";"Waste generated";"Kilograms per capita";"297";"e"
2012.0;"Poland";"Waste generated";"Kilograms per capita";"317";"e"
2011.0;"Poland";"Waste generated";"Kilograms per capita";"319";"e"
2010.0;"Poland";"Waste generated";"Kilograms per capita";"316";"e"
2009.0;"Poland";"Waste generated";"Kilograms per capita";"316";"e"
2008.0;"Poland";"Waste generated";"Kilograms per capita";"320";"e"
2007.0;"Poland";"Waste generated";"Kilograms per capita";"322";"e"
2006.0;"Poland";"Waste generated";"Kilograms per capita";"321";"e"
2005.0;"Poland";"Waste generated";"Kilograms per capita";"319";"e"
