"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Portugal";"Composting and digestion";"Kilograms per capita";":";
2014.0;"Portugal";"Composting and digestion";"Kilograms per capita";"64";
2013.0;"Portugal";"Composting and digestion";"Kilograms per capita";"57";
2012.0;"Portugal";"Composting and digestion";"Kilograms per capita";"66";
2011.0;"Portugal";"Composting and digestion";"Kilograms per capita";"42";
2010.0;"Portugal";"Composting and digestion";"Kilograms per capita";"38";
2009.0;"Portugal";"Composting and digestion";"Kilograms per capita";"40";
2008.0;"Portugal";"Composting and digestion";"Kilograms per capita";"36";
2007.0;"Portugal";"Composting and digestion";"Kilograms per capita";"30";
2006.0;"Portugal";"Composting and digestion";"Kilograms per capita";"29";
2005.0;"Portugal";"Composting and digestion";"Kilograms per capita";"30";
