"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Portugal";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";":";
2014.0;"Portugal";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"222";
2013.0;"Portugal";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"222";
2012.0;"Portugal";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"247";
2011.0;"Portugal";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"289";
2010.0;"Portugal";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"320";
2009.0;"Portugal";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"316";
2008.0;"Portugal";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"334";
2007.0;"Portugal";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"301";
2006.0;"Portugal";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"299";
2005.0;"Portugal";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"283";
