"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Portugal";"Waste generated";"Kilograms per capita";":";
2014.0;"Portugal";"Waste generated";"Kilograms per capita";"453";
2013.0;"Portugal";"Waste generated";"Kilograms per capita";"440";
2012.0;"Portugal";"Waste generated";"Kilograms per capita";"453";
2011.0;"Portugal";"Waste generated";"Kilograms per capita";"490";
2010.0;"Portugal";"Waste generated";"Kilograms per capita";"516";
2009.0;"Portugal";"Waste generated";"Kilograms per capita";"520";
2008.0;"Portugal";"Waste generated";"Kilograms per capita";"518";
2007.0;"Portugal";"Waste generated";"Kilograms per capita";"471";
2006.0;"Portugal";"Waste generated";"Kilograms per capita";"465";
2005.0;"Portugal";"Waste generated";"Kilograms per capita";"452";
