"TIME","GEO","WST_OPER","UNIT","Value","Flag and Footnotes"
"2005","Austria","Material recycling","Kilograms per capita","143",""
"2006","Austria","Material recycling","Kilograms per capita","152",""
"2007","Austria","Material recycling","Kilograms per capita","159",""
"2008","Austria","Material recycling","Kilograms per capita","177",""
"2009","Austria","Material recycling","Kilograms per capita","179",""
"2010","Austria","Material recycling","Kilograms per capita","152",""
"2011","Austria","Material recycling","Kilograms per capita","137",""
"2012","Austria","Material recycling","Kilograms per capita","139",""
"2013","Austria","Material recycling","Kilograms per capita","142",""
"2014","Austria","Material recycling","Kilograms per capita","144",""
"2015","Austria","Material recycling","Kilograms per capita","144",""
"2005","Bosnia and Herzegovina","Material recycling","Kilograms per capita",":",""
"2006","Bosnia and Herzegovina","Material recycling","Kilograms per capita",":",""
"2007","Bosnia and Herzegovina","Material recycling","Kilograms per capita",":",""
"2008","Bosnia and Herzegovina","Material recycling","Kilograms per capita","0",""
"2009","Bosnia and Herzegovina","Material recycling","Kilograms per capita","0",""
"2010","Bosnia and Herzegovina","Material recycling","Kilograms per capita","0",""
"2011","Bosnia and Herzegovina","Material recycling","Kilograms per capita","0",""
"2012","Bosnia and Herzegovina","Material recycling","Kilograms per capita","0",""
"2013","Bosnia and Herzegovina","Material recycling","Kilograms per capita","0",""
"2014","Bosnia and Herzegovina","Material recycling","Kilograms per capita",":",""
"2015","Bosnia and Herzegovina","Material recycling","Kilograms per capita",":",""
"2005","Belgium","Material recycling","Kilograms per capita","148",""
"2006","Belgium","Material recycling","Kilograms per capita","152",""
"2007","Belgium","Material recycling","Kilograms per capita","164",""
"2008","Belgium","Material recycling","Kilograms per capita","155",""
"2009","Belgium","Material recycling","Kilograms per capita","157",""
"2010","Belgium","Material recycling","Kilograms per capita","153",""
"2011","Belgium","Material recycling","Kilograms per capita","155",""
"2012","Belgium","Material recycling","Kilograms per capita","144",""
"2013","Belgium","Material recycling","Kilograms per capita","138",""
"2014","Belgium","Material recycling","Kilograms per capita","141",""
"2015","Belgium","Material recycling","Kilograms per capita","143",""
"2005","Bulgaria","Material recycling","Kilograms per capita","107","e"
"2006","Bulgaria","Material recycling","Kilograms per capita","110","e"
"2007","Bulgaria","Material recycling","Kilograms per capita","114","e"
"2008","Bulgaria","Material recycling","Kilograms per capita","116","e"
"2009","Bulgaria","Material recycling","Kilograms per capita","119","e"
"2010","Bulgaria","Material recycling","Kilograms per capita","136",""
"2011","Bulgaria","Material recycling","Kilograms per capita","122",""
"2012","Bulgaria","Material recycling","Kilograms per capita","103",""
"2013","Bulgaria","Material recycling","Kilograms per capita","108",""
"2014","Bulgaria","Material recycling","Kilograms per capita","94",""
"2015","Bulgaria","Material recycling","Kilograms per capita","80",""
"2005","Switzerland","Material recycling","Kilograms per capita","232",""
"2006","Switzerland","Material recycling","Kilograms per capita","237",""
"2007","Switzerland","Material recycling","Kilograms per capita","245",""
"2008","Switzerland","Material recycling","Kilograms per capita","246",""
"2009","Switzerland","Material recycling","Kilograms per capita","241",""
