"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Romania";"Composting and digestion";"Kilograms per capita";"18";
2014.0;"Romania";"Composting and digestion";"Kilograms per capita";"20";
2013.0;"Romania";"Composting and digestion";"Kilograms per capita";"23";
2012.0;"Romania";"Composting and digestion";"Kilograms per capita";"29";
2011.0;"Romania";"Composting and digestion";"Kilograms per capita";"22";
2010.0;"Romania";"Composting and digestion";"Kilograms per capita";"32";
2009.0;"Romania";"Composting and digestion";"Kilograms per capita";"0";
2008.0;"Romania";"Composting and digestion";"Kilograms per capita";"0";
2007.0;"Romania";"Composting and digestion";"Kilograms per capita";"0";
2006.0;"Romania";"Composting and digestion";"Kilograms per capita";"0";
2005.0;"Romania";"Composting and digestion";"Kilograms per capita";"0";
