"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Romania";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"178";
2014.0;"Romania";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"179";
2013.0;"Romania";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"175";
2012.0;"Romania";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"171";
2011.0;"Romania";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"201";
2010.0;"Romania";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"238";
2009.0;"Romania";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"303";
2008.0;"Romania";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"316";
2007.0;"Romania";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"293";
2006.0;"Romania";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"297";
2005.0;"Romania";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"301";
