"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Romania";"Material recycling";"Kilograms per capita";"14";
2014.0;"Romania";"Material recycling";"Kilograms per capita";"13";
2013.0;"Romania";"Material recycling";"Kilograms per capita";"11";
2012.0;"Romania";"Material recycling";"Kilograms per capita";"8";
2011.0;"Romania";"Material recycling";"Kilograms per capita";"9";
2010.0;"Romania";"Material recycling";"Kilograms per capita";"8";
2009.0;"Romania";"Material recycling";"Kilograms per capita";"4";
2008.0;"Romania";"Material recycling";"Kilograms per capita";"4";
2007.0;"Romania";"Material recycling";"Kilograms per capita";"2";
2006.0;"Romania";"Material recycling";"Kilograms per capita";"2";
2005.0;"Romania";"Material recycling";"Kilograms per capita";"7";
