"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Romania";"Waste generated";"Kilograms per capita";"247";
2014.0;"Romania";"Waste generated";"Kilograms per capita";"249";
2013.0;"Romania";"Waste generated";"Kilograms per capita";"254";
2012.0;"Romania";"Waste generated";"Kilograms per capita";"251";
2011.0;"Romania";"Waste generated";"Kilograms per capita";"259";
2010.0;"Romania";"Waste generated";"Kilograms per capita";"313";
2009.0;"Romania";"Waste generated";"Kilograms per capita";"381";"e"
2008.0;"Romania";"Waste generated";"Kilograms per capita";"411";"e"
2007.0;"Romania";"Waste generated";"Kilograms per capita";"391";"e"
2006.0;"Romania";"Waste generated";"Kilograms per capita";"396";"e"
2005.0;"Romania";"Waste generated";"Kilograms per capita";"383";"e"
