"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Serbia";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"192";
2014.0;"Serbia";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"234";
2013.0;"Serbia";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"268";
2012.0;"Serbia";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"254";
2011.0;"Serbia";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"289";
2010.0;"Serbia";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"259";
2009.0;"Serbia";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"216";
2008.0;"Serbia";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"207";
2007.0;"Serbia";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"168";
2006.0;"Serbia";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"140";
2005.0;"Serbia";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";":";
