"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Serbia";"Waste generated";"Kilograms per capita";"259";
2014.0;"Serbia";"Waste generated";"Kilograms per capita";"299";
2013.0;"Serbia";"Waste generated";"Kilograms per capita";"336";
2012.0;"Serbia";"Waste generated";"Kilograms per capita";"364";
2011.0;"Serbia";"Waste generated";"Kilograms per capita";"375";
2010.0;"Serbia";"Waste generated";"Kilograms per capita";"363";
2009.0;"Serbia";"Waste generated";"Kilograms per capita";"360";
2008.0;"Serbia";"Waste generated";"Kilograms per capita";"347";
2007.0;"Serbia";"Waste generated";"Kilograms per capita";"280";
2006.0;"Serbia";"Waste generated";"Kilograms per capita";"233";
2005.0;"Serbia";"Waste generated";"Kilograms per capita";":";
