"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Spain";"Composting and digestion";"Kilograms per capita";"71";"e"
2014.0;"Spain";"Composting and digestion";"Kilograms per capita";"62";
2013.0;"Spain";"Composting and digestion";"Kilograms per capita";"77";
2012.0;"Spain";"Composting and digestion";"Kilograms per capita";"48";
2011.0;"Spain";"Composting and digestion";"Kilograms per capita";"49";
2010.0;"Spain";"Composting and digestion";"Kilograms per capita";"59";
2009.0;"Spain";"Composting and digestion";"Kilograms per capita";"97";
2008.0;"Spain";"Composting and digestion";"Kilograms per capita";"134";
2007.0;"Spain";"Composting and digestion";"Kilograms per capita";"99";
2006.0;"Spain";"Composting and digestion";"Kilograms per capita";"102";
2005.0;"Spain";"Composting and digestion";"Kilograms per capita";"100";
