"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Spain";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"239";"e"
2014.0;"Spain";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"259";
2013.0;"Spain";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"253";
2012.0;"Spain";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"284";
2011.0;"Spain";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"305";
2010.0;"Spain";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"318";
2009.0;"Spain";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"314";
2008.0;"Spain";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"285";
2007.0;"Spain";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"344";
2006.0;"Spain";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"353";
2005.0;"Spain";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"288";
