"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Spain";"Material recycling";"Kilograms per capita";"73";"e"
2014.0;"Spain";"Material recycling";"Kilograms per capita";"76";
2013.0;"Spain";"Material recycling";"Kilograms per capita";"70";
2012.0;"Spain";"Material recycling";"Kilograms per capita";"91";
2011.0;"Spain";"Material recycling";"Kilograms per capita";"81";
2010.0;"Spain";"Material recycling";"Kilograms per capita";"90";
2009.0;"Spain";"Material recycling";"Kilograms per capita";"82";
2008.0;"Spain";"Material recycling";"Kilograms per capita";"85";
2007.0;"Spain";"Material recycling";"Kilograms per capita";"77";
2006.0;"Spain";"Material recycling";"Kilograms per capita";"82";
2005.0;"Spain";"Material recycling";"Kilograms per capita";"84";
