"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Spain";"Waste generated";"Kilograms per capita";"434";"e"
2014.0;"Spain";"Waste generated";"Kilograms per capita";"448";
2013.0;"Spain";"Waste generated";"Kilograms per capita";"454";
2012.0;"Spain";"Waste generated";"Kilograms per capita";"468";
2011.0;"Spain";"Waste generated";"Kilograms per capita";"485";
2010.0;"Spain";"Waste generated";"Kilograms per capita";"510";
2009.0;"Spain";"Waste generated";"Kilograms per capita";"542";
2008.0;"Spain";"Waste generated";"Kilograms per capita";"551";
2007.0;"Spain";"Waste generated";"Kilograms per capita";"578";
2006.0;"Spain";"Waste generated";"Kilograms per capita";"590";
2005.0;"Spain";"Waste generated";"Kilograms per capita";"588";
