"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Sweden";"Composting and digestion";"Kilograms per capita";"70";
2014.0;"Sweden";"Composting and digestion";"Kilograms per capita";"72";
2013.0;"Sweden";"Composting and digestion";"Kilograms per capita";"69";
2012.0;"Sweden";"Composting and digestion";"Kilograms per capita";"65";
2011.0;"Sweden";"Composting and digestion";"Kilograms per capita";"64";
2010.0;"Sweden";"Composting and digestion";"Kilograms per capita";"60";
2009.0;"Sweden";"Composting and digestion";"Kilograms per capita";"60";
2008.0;"Sweden";"Composting and digestion";"Kilograms per capita";"57";
2007.0;"Sweden";"Composting and digestion";"Kilograms per capita";"54";
2006.0;"Sweden";"Composting and digestion";"Kilograms per capita";"52";
2005.0;"Sweden";"Composting and digestion";"Kilograms per capita";"50";
