"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Sweden";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"4";
2014.0;"Sweden";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"3";
2013.0;"Sweden";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"3";
2012.0;"Sweden";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"3";
2011.0;"Sweden";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"3";
2010.0;"Sweden";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"4";
2009.0;"Sweden";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"6";
2008.0;"Sweden";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"15";
2007.0;"Sweden";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"20";
2006.0;"Sweden";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"25";
2005.0;"Sweden";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"23";
