"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Sweden";"Material recycling";"Kilograms per capita";"145";
2014.0;"Sweden";"Material recycling";"Kilograms per capita";"146";
2013.0;"Sweden";"Material recycling";"Kilograms per capita";"150";
2012.0;"Sweden";"Material recycling";"Kilograms per capita";"147";
2011.0;"Sweden";"Material recycling";"Kilograms per capita";"149";
2010.0;"Sweden";"Material recycling";"Kilograms per capita";"151";
2009.0;"Sweden";"Material recycling";"Kilograms per capita";"173";
2008.0;"Sweden";"Material recycling";"Kilograms per capita";"165";
2007.0;"Sweden";"Material recycling";"Kilograms per capita";"174";
2006.0;"Sweden";"Material recycling";"Kilograms per capita";"183";
2005.0;"Sweden";"Material recycling";"Kilograms per capita";"163";
