"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Sweden";"Waste generated";"Kilograms per capita";"447";
2014.0;"Sweden";"Waste generated";"Kilograms per capita";"438";
2013.0;"Sweden";"Waste generated";"Kilograms per capita";"451";
2012.0;"Sweden";"Waste generated";"Kilograms per capita";"450";
2011.0;"Sweden";"Waste generated";"Kilograms per capita";"449";
2010.0;"Sweden";"Waste generated";"Kilograms per capita";"439";
2009.0;"Sweden";"Waste generated";"Kilograms per capita";"470";
2008.0;"Sweden";"Waste generated";"Kilograms per capita";"483";
2007.0;"Sweden";"Waste generated";"Kilograms per capita";"486";
2006.0;"Sweden";"Waste generated";"Kilograms per capita";"490";
2005.0;"Sweden";"Waste generated";"Kilograms per capita";"477";
