"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Turkey";"Composting and digestion";"Kilograms per capita";"2";"e"
2014.0;"Turkey";"Composting and digestion";"Kilograms per capita";"2";
2013.0;"Turkey";"Composting and digestion";"Kilograms per capita";"2";"e"
2012.0;"Turkey";"Composting and digestion";"Kilograms per capita";"2";
2011.0;"Turkey";"Composting and digestion";"Kilograms per capita";"4";"e"
2010.0;"Turkey";"Composting and digestion";"Kilograms per capita";"3";
2009.0;"Turkey";"Composting and digestion";"Kilograms per capita";"4";"e"
2008.0;"Turkey";"Composting and digestion";"Kilograms per capita";"4";
2007.0;"Turkey";"Composting and digestion";"Kilograms per capita";"5";"e"
2006.0;"Turkey";"Composting and digestion";"Kilograms per capita";"4";
2005.0;"Turkey";"Composting and digestion";"Kilograms per capita";"5";"e"
