"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Turkey";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"350";"e"
2014.0;"Turkey";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"361";
2013.0;"Turkey";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"332";"e"
2012.0;"Turkey";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"340";
2011.0;"Turkey";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"355";"e"
2010.0;"Turkey";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"340";
2009.0;"Turkey";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"357";"e"
2008.0;"Turkey";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"335";
2007.0;"Turkey";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"363";"e"
2006.0;"Turkey";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"357";
2005.0;"Turkey";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"379";"e"
