"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Turkey";"Material recycling";"Kilograms per capita";":";
2014.0;"Turkey";"Material recycling";"Kilograms per capita";":";
2013.0;"Turkey";"Material recycling";"Kilograms per capita";":";
2012.0;"Turkey";"Material recycling";"Kilograms per capita";":";
2011.0;"Turkey";"Material recycling";"Kilograms per capita";":";
2010.0;"Turkey";"Material recycling";"Kilograms per capita";":";
2009.0;"Turkey";"Material recycling";"Kilograms per capita";":";
2008.0;"Turkey";"Material recycling";"Kilograms per capita";":";
2007.0;"Turkey";"Material recycling";"Kilograms per capita";":";
2006.0;"Turkey";"Material recycling";"Kilograms per capita";":";
2005.0;"Turkey";"Material recycling";"Kilograms per capita";":";
