"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"United Kingdom";"Composting and digestion";"Kilograms per capita";"79";
2014.0;"United Kingdom";"Composting and digestion";"Kilograms per capita";"79";
2013.0;"United Kingdom";"Composting and digestion";"Kilograms per capita";"76";
2012.0;"United Kingdom";"Composting and digestion";"Kilograms per capita";"75";
2011.0;"United Kingdom";"Composting and digestion";"Kilograms per capita";"78";
2010.0;"United Kingdom";"Composting and digestion";"Kilograms per capita";"76";
2009.0;"United Kingdom";"Composting and digestion";"Kilograms per capita";"73";
2008.0;"United Kingdom";"Composting and digestion";"Kilograms per capita";"71";
2007.0;"United Kingdom";"Composting and digestion";"Kilograms per capita";"65";
2006.0;"United Kingdom";"Composting and digestion";"Kilograms per capita";"60";
2005.0;"United Kingdom";"Composting and digestion";"Kilograms per capita";"50";
