"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"United Kingdom";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"109";
2014.0;"United Kingdom";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"134";
2013.0;"United Kingdom";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"164";
2012.0;"United Kingdom";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"177";
2011.0;"United Kingdom";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"199";
2010.0;"United Kingdom";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"234";
2009.0;"United Kingdom";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"257";
2008.0;"United Kingdom";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"285";
2007.0;"United Kingdom";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"321";
2006.0;"United Kingdom";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"351";
2005.0;"United Kingdom";"Landfill / disposal (D1-D7, D12)";"Kilograms per capita";"374";
