"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"United Kingdom";"Incineration / disposal (D10)";"Kilograms per capita";"5";
2014.0;"United Kingdom";"Incineration / disposal (D10)";"Kilograms per capita";"2";
2013.0;"United Kingdom";"Incineration / disposal (D10)";"Kilograms per capita";"1";
2012.0;"United Kingdom";"Incineration / disposal (D10)";"Kilograms per capita";"1";
2011.0;"United Kingdom";"Incineration / disposal (D10)";"Kilograms per capita";"0";
2010.0;"United Kingdom";"Incineration / disposal (D10)";"Kilograms per capita";"0";
2009.0;"United Kingdom";"Incineration / disposal (D10)";"Kilograms per capita";"0";
2008.0;"United Kingdom";"Incineration / disposal (D10)";"Kilograms per capita";"0";
2007.0;"United Kingdom";"Incineration / disposal (D10)";"Kilograms per capita";"0";
2006.0;"United Kingdom";"Incineration / disposal (D10)";"Kilograms per capita";"0";
2005.0;"United Kingdom";"Incineration / disposal (D10)";"Kilograms per capita";"0";
