"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"United Kingdom";"Waste generated";"Kilograms per capita";"485";
2014.0;"United Kingdom";"Waste generated";"Kilograms per capita";"482";
2013.0;"United Kingdom";"Waste generated";"Kilograms per capita";"482";
2012.0;"United Kingdom";"Waste generated";"Kilograms per capita";"477";
2011.0;"United Kingdom";"Waste generated";"Kilograms per capita";"491";
2010.0;"United Kingdom";"Waste generated";"Kilograms per capita";"509";
2009.0;"United Kingdom";"Waste generated";"Kilograms per capita";"522";
2008.0;"United Kingdom";"Waste generated";"Kilograms per capita";"541";
2007.0;"United Kingdom";"Waste generated";"Kilograms per capita";"567";
2006.0;"United Kingdom";"Waste generated";"Kilograms per capita";"583";
2005.0;"United Kingdom";"Waste generated";"Kilograms per capita";"581";
